code_etab;id_contrib;comment_1;note_globale_1;sentiment_SERVICE_1;target_SERVICE_1;sample_SERVICE_1;sentiment_AMBIANCE_1;target_AMBIANCE_1;sample_AMBIANCE_1;sentiment_QUALITY_1;target_QUALITY_1;sample_QUALITY_1;sentiment_PRICE_1;target_PRICE_1;sample_PRICE_1;sentiment_GENERAL_1;target_GENERAL_1;sample_GENERAL_1;sentiment_LOCATION_1;target_LOCATION_1;sample_LOCATION_1;comment_2;note_globale_2;sentiment_SERVICE_2;target_SERVICE_2;sample_SERVICE_2;sentiment_AMBIANCE_2;target_AMBIANCE_2;sample_AMBIANCE_2;sentiment_QUALITY_2;target_QUALITY_2;sample_QUALITY_2;sentiment_PRICE_2;target_PRICE_2;sample_PRICE_2;sentiment_GENERAL_2;target_GENERAL_2;sample_GENERAL_2;sentiment_LOCATION_2;target_LOCATION_2;sample_LOCATION_2;comment_3;note_globale_3;sentiment_SERVICE_3;target_SERVICE_3;sample_SERVICE_3;sentiment_AMBIANCE_3;target_AMBIANCE_3;sample_AMBIANCE_3;sentiment_QUALITY_3;target_QUALITY_3;sample_QUALITY_3;sentiment_PRICE_3;target_PRICE_3;sample_PRICE_3;sentiment_GENERAL_3;target_GENERAL_3;sample_GENERAL_3;sentiment_LOCATION_3;target_LOCATION_3;sample_LOCATION_3;summary_SERVICE;summary_AMBIANCE;summary_QUALITY;summary_PRICE;summary_GENERAL;summary_LOCATION
50876402;5667cc68d1db7e18d30303a8;"Très bon,et il ne fait que du rapide,vous pouvez aussi manger sur place.je regale a chaque fois";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Très bon,et il ne fait que du rapide,vous pouvez aussi manger sur place.je regale a chaque fois";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
50902479;5667cc69d1db7e18d3030626;"Le cadre est bien, mais il ne savent pas faire la viande à point, je vous préviens. Avec 3 amis nous somme carnivore mais nous n'aimons pas le saignant, on nous à apporter une viande saignante, on a redemander de faire griller, la surface était griller mais l'intérieur saignant de chez saignant. la serveuse nous a confié que cétait un manque de temps... dans ce cas, faut pas porposer a point dans la carte.. on a payé 60 euros, on a rien mangé sauf les frites...";2;"negative";"serveuse";"la serveuse nous a confié que cétait un manque de temps";"negative";"cadre";"Le cadre est bien";"negative";"viande, viande, carte, frites";"on a rien mangé sauf les frites";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Idéalement placé dans une zone commerciale, il permet de pouvoir se garer sans contraintes et gratuitement. L'accueil y est fort sympathique. La carte est variée, basée essentiellement sur la viande. Mon coup de coeur : le T Bone, un pur délice. Il est vrai qu'en forte affluence, il faut s'armer de patience pour obtenir une place. L'ambiance est bruyante, et parfois, le service est ultra-lent ou ultra-rapide. Quand à la qualité des plats, elle est correcte, voire supérieure ...  En allant à l'Hippo, nous savons ou nous allons ...";2;"positive";"accueil, service";"le service est ultra-lent ou ultra-rapide";"positive";"ambiance";"L'ambiance est bruyante";"positive";"carte, viande, plats";"Quand à la qualité des plats";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Le cadre est bien, mais il ne savent pas faire la viande à point, je vous préviens. Avec 3 amis nous somme carnivore mais nous n'aimons pas le saignant, on nous à apporter une viande saignante, on a redemander de faire griller, la surface était griller mais l'intérieur saignant de chez saignant. la serveuse nous a confié que cétait un manque de temps... dans ce cas, faut pas porposer a point dans la carte.. on a payé 60 euros, on a rien mangé sauf les frites...";2;"negative";"serveuse";"la serveuse nous a confié que cétait un manque de temps";"negative";"cadre";"Le cadre est bien";"negative";"viande, viande, carte, frites";"on a rien mangé sauf les frites";"-";"-";"-";"-";"-";"-";"-";"-";"-";"neutral";"neutral";"neutral";"-";"-";"-"
50933309;57a45a5f1f461410a44b5ae4;"Rapport qualité -prix-inventivité parfait-surtout pour le déjeuner(prix très correct) -Je recommande fortement.";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"qualité -prix -";"Rapport qualité -prix-inventivité parfait-surtout pour le déjeuner(prix très correct) -Je recommande fortement";"-";"-";"-";"-";"-";"-";"Rapport qualité -prix-inventivité parfait-surtout pour le déjeuner(prix très correct) -Je recommande fortement.";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"qualité -prix -";"Rapport qualité -prix-inventivité parfait-surtout pour le déjeuner(prix très correct) -Je recommande fortement";"-";"-";"-";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"-";"-"
50935481;5667cc85d1db7e18d30329cf;"une ambiance très cosy et un personnel vraiment très professionnel, on s y sent bien et le plus important on y mange très bien, les prix sont abordables";4;"positive";"personnel";"une ambiance très cosy et un personnel vraiment très professionnel";"positive";"ambiance";"une ambiance très cosy et un personnel vraiment très professionnel";"-";"-";"-";"positive";"prix";"les prix sont abordables";"-";"-";"-";"-";"-";"-";"une ambiance très cosy et un personnel vraiment très professionnel, on s y sent bien et le plus important on y mange très bien, les prix sont abordables";4;"positive";"personnel";"une ambiance très cosy et un personnel vraiment très professionnel";"positive";"ambiance";"une ambiance très cosy et un personnel vraiment très professionnel";"-";"-";"-";"positive";"prix";"les prix sont abordables";"-";"-";"-";"-";"-";"-";"-";4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"positive";"-";"positive";"-";"-"
50937924;58a48d16717904380465070d;"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide. Déjeuner le midi : Ambiance agréable malgré le contexte d'un resto routier. Manque de chic ou de charme pour une saint valentin";4;"positive";"Accueil, serveuse, service";"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide";"positive";"Ambiance";"Ambiance agréable malgré le contexte d'un resto routier";"positive";"cuisine";"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide";"-";"-";"-";"positive";"resto";"Ambiance agréable malgré le contexte d'un resto routier";"-";"-";"-";"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide. Déjeuner le midi : Ambiance agréable malgré le contexte d'un resto routier. Manque de chic ou de charme pour une saint valentin";4;"positive";"Accueil, serveuse, service";"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide";"positive";"Ambiance";"Ambiance agréable malgré le contexte d'un resto routier";"positive";"cuisine";"Accueil chaleureux (serveuse et chef de cuisine) ainsi que service rapide";"-";"-";"-";"positive";"resto";"Ambiance agréable malgré le contexte d'un resto routier";"-";"-";"-";"-";4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"positive";"positive";"-";"positive";"-"
50957988;5667cc86d1db7e18d3032d82;"Idéalement situé dans Lille, accueil chaleureux et sincère, les prix sont abordables aux petits budgets ou aux familles nombreuses. Les plats sont copieux et de bonne qualité. Le service un peu long, mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant.";4;"positive";"accueil, service";"Le service un peu long";"positive";"ambiance, cadre";"mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant";"positive";"plats, qualité";"Les plats sont copieux et de bonne qualité";"positive";"prix";"les prix sont abordables aux petits budgets ou aux familles nombreuses";"positive";"restaurant";"mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant";"-";"-";"-";"ayant ete a lille ces derniers jours pour aller nous promener mon homme et moi somme allé pour manger dans ce restaurant ou nous avons bien ete accueilli le decor et sympa et la nourriture du terroire le prix et tres interessent";4;"-";"-";"-";"-";"-";"-";"positive";"nourriture";"ayant ete a lille ces derniers jours pour aller nous promener mon homme et moi somme allé pour manger dans ce restaurant ou nous avons bien ete accueilli le decor et sympa et la nourriture du terroire le prix et tres interessent";"positive";"prix";"ayant ete a lille ces derniers jours pour aller nous promener mon homme et moi somme allé pour manger dans ce restaurant ou nous avons bien ete accueilli le decor et sympa et la nourriture du terroire le prix et tres interessent";"positive";"restaurant";"ayant ete a lille ces derniers jours pour aller nous promener mon homme et moi somme allé pour manger dans ce restaurant ou nous avons bien ete accueilli le decor et sympa et la nourriture du terroire le prix et tres interessent";"-";"-";"-";"Idéalement situé dans Lille, accueil chaleureux et sincère, les prix sont abordables aux petits budgets ou aux familles nombreuses. Les plats sont copieux et de bonne qualité. Le service un peu long, mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant.";4;"positive";"accueil, service";"Le service un peu long";"positive";"ambiance, cadre";"mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant";"positive";"plats, qualité";"Les plats sont copieux et de bonne qualité";"positive";"prix";"les prix sont abordables aux petits budgets ou aux familles nombreuses";"positive";"restaurant";"mais cela n'est pas un réel problème car l'ambiance et le cadre permettent de se détendre au sein de restaurant";"-";"-";"-";"positive";"positive";"positive";"positive";"positive";"-"
50959837;5667cc91d1db7e18d3035e6c;"pizza pas cher , beaucoup de varietes. on en a pris deux differentes et elles sont pas garnie une etait trop cuite et l'autre pas assez cuite je suis deçu. on avait pris un panini nutella est il était pas cuit le pain était cru.";1;"-";"-";"-";"-";"-";"-";"negative";"pizza, pain";"on avait pris un panini nutella est il était pas cuit le pain était cru";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pizza pas cher , beaucoup de varietes. on en a pris deux differentes et elles sont pas garnie une etait trop cuite et l'autre pas assez cuite je suis deçu. on avait pris un panini nutella est il était pas cuit le pain était cru.";1;"-";"-";"-";"-";"-";"-";"negative";"pizza, pain";"on avait pris un panini nutella est il était pas cuit le pain était cru";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"-";"-";"-"
50967207;5667cc86d1db7e18d3033153;"Bon repas, cuisine traditionnelle et provençale dans ce petit village varois. Accueil chaleureux par le patron et bonne ambiance.";5;"positive";"Accueil, patron";"Accueil chaleureux par le patron et bonne ambiance";"positive";"ambiance";"Accueil chaleureux par le patron et bonne ambiance";"positive";"repas, cuisine";"cuisine traditionnelle et provençale dans ce petit village varois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Bon repas, cuisine traditionnelle et provençale dans ce petit village varois. Accueil chaleureux par le patron et bonne ambiance.";5;"positive";"Accueil, patron";"Accueil chaleureux par le patron et bonne ambiance";"positive";"ambiance";"Accueil chaleureux par le patron et bonne ambiance";"positive";"repas, cuisine";"cuisine traditionnelle et provençale dans ce petit village varois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"positive";"positive";"-";"-";"-"
50971851;5667cc91d1db7e18d3035e89;"Bonne pour très intéressant pour manger en groupe et goûter la cuisine asiatique";4;"-";"-";"-";"-";"-";"-";"positive";"cuisine asiatique";"Bonne pour très intéressant pour manger en groupe et goûter la cuisine asiatique";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Bonne pour très intéressant pour manger en groupe et goûter la cuisine asiatique";4;"-";"-";"-";"-";"-";"-";"positive";"cuisine asiatique";"Bonne pour très intéressant pour manger en groupe et goûter la cuisine asiatique";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"-";"-";"-"
50972370;5667cc91d1db7e18d3035ead;"Excellent! Et je suis pourtant fine bouche. Tout est frais et les cuissons parfaitement maitrisé.le restaurant a changé de propriétaire mais c'est toujours aussi bon. Je ne comprend pas certain avis négatif car je n'ai jamais été déçu.allez y les yeux fermé :-)";5;"-";"-";"-";"-";"-";"-";"positive";"cuissons";"Tout est frais et les cuissons parfaitement maitrisé";"-";"-";"-";"positive";"restaurant";"le restaurant a changé de propriétaire mais c'est toujours aussi bon";"-";"-";"-";"Excellent! Et je suis pourtant fine bouche. Tout est frais et les cuissons parfaitement maitrisé.le restaurant a changé de propriétaire mais c'est toujours aussi bon. Je ne comprend pas certain avis négatif car je n'ai jamais été déçu.allez y les yeux fermé :-)";5;"-";"-";"-";"-";"-";"-";"positive";"cuissons";"Tout est frais et les cuissons parfaitement maitrisé";"-";"-";"-";"positive";"restaurant";"le restaurant a changé de propriétaire mais c'est toujours aussi bon";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"-";"positive";"-"
50972671;57128dda7179040e81dc04ac;"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne.";1;"negative";"service";"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"Restaurant";"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne";"-";"-";"-";"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne.";1;"negative";"service";"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"Restaurant";"Restaurant sans intérêt prend des réservation à tout va sans place et un service médiocre il vaut mieux aller à canne";"-";"-";"-";"-";1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"-";"-";"-";"negative";"-"
